user_id,num_orders,total_spent_eur,avg_days_between_orders,R_score,F_score,M_score,segment
1,11,281.73,19.0,2,3,4,Sleeping
2,15,435.6,16.285714285714285,3,4,4,Loyal
3,13,308.57,12.0,4,3,4,Loyal
4,6,12.23,17.0,3,2,1,New
5,5,81.81,11.5,4,1,2,New
6,4,54.12,13.333333333333334,3,1,1,New
7,21,539.36,10.45,4,4,4,Premium
8,4,162.64,23.333333333333332,1,1,3,Lost
9,4,186.33,22.0,2,1,3,Lost
10,6,606.76,21.8,2,2,5,High_Check
11,8,198.33,18.714285714285715,2,2,3,Lost
12,6,165.48,26.0,1,2,3,Lost
13,13,186.85,7.666666666666667,5,3,3,Loyal
14,14,113.88,21.23076923076923,2,4,2,Frugal
15,23,212.83,10.636363636363637,4,4,3,Loyal
16,7,263.46999999999997,19.333333333333332,2,2,4,High_Check
17,41,364.23,8.0,5,5,4,Premium
18,7,32.71,5.833333333333333,5,2,1,New
19,10,206.99,9.333333333333334,4,3,3,Loyal
20,5,29.480000000000004,11.25,4,1,1,New
21,34,314.59,10.454545454545455,4,5,4,Premium
22,16,263.57,12.733333333333333,4,4,4,Premium
23,5,24.83,18.5,2,1,1,Lost
24,19,57.660000000000004,14.666666666666666,3,4,1,Frugal
25,4,20.84,30.0,1,1,1,Lost
26,13,86.16,12.166666666666666,4,3,2,Promising
27,82,1827.44,4.432098765432099,5,5,5,Premium
28,25,459.56,11.541666666666666,4,5,4,Premium
29,19,30.220000000000002,11.61111111111111,4,4,1,Frugal
30,9,19.240000000000002,21.625,2,3,1,Sleeping
31,21,247.79,5.55,5,4,3,Loyal
32,6,435.91999999999996,22.2,1,2,4,High_Check
33,4,39.82,25.333333333333332,1,1,1,Lost
34,6,60.480000000000004,22.0,2,2,2,Lost
35,10,522.65,21.333333333333332,2,3,4,Sleeping
36,38,127.41,9.54054054054054,4,5,2,Frugal
37,24,606.05,13.521739130434783,3,4,5,Loyal
38,13,566.47,21.75,2,3,5,Sleeping
39,8,394.51,11.285714285714286,4,2,4,High_Check
40,10,158.93,12.444444444444445,4,3,3,Loyal
41,6,188.48000000000002,26.6,1,2,3,Lost
42,17,78.00999999999999,13.875,3,4,2,Frugal
