user_id,num_orders,total_spent_eur,avg_days_between_orders,R_score,F_score,M_score,segment,avg_order_value,recommended_discount
1,11,281.73,19.0,2,3,4,Sleeping,25.611818181818183,0.0
2,15,435.6,16.285714285714285,3,4,4,Loyal,29.040000000000003,0.0
3,13,308.57,12.0,4,3,4,Loyal,23.736153846153847,0.0
4,6,12.23,17.0,3,2,1,New,2.0383333333333336,0.0
5,5,81.81,11.5,4,1,2,New,16.362000000000002,0.0
6,4,54.12,13.333333333333334,3,1,1,New,13.53,0.0
7,21,539.36,10.45,4,4,4,Premium,25.683809523809526,0.0
8,4,162.64,23.33333333333333,1,1,3,Lost,40.66,15.0
9,4,186.33,22.0,2,1,3,Lost,46.5825,15.0
10,6,606.76,21.8,2,2,5,High_Check,101.12666666666667,0.0
11,8,198.33,18.714285714285715,2,2,3,Lost,24.79125,15.0
12,6,165.48,26.0,1,2,3,Lost,27.58,15.0
13,13,186.85,7.666666666666667,5,3,3,Loyal,14.373076923076923,0.0
14,14,113.88,21.23076923076923,2,4,2,Frugal,8.134285714285713,0.0
15,23,212.83,10.636363636363637,4,4,3,Loyal,9.253478260869565,1.6
16,7,263.47,19.33333333333333,2,2,4,High_Check,37.63857142857143,0.0
17,41,364.23,8.0,5,5,4,Premium,8.883658536585367,0.0
18,7,32.71,5.833333333333333,5,2,1,New,4.672857142857143,0.0
19,10,206.99,9.333333333333334,4,3,3,Loyal,20.699,0.0
20,5,29.480000000000004,11.25,4,1,1,New,5.896000000000001,0.0
21,34,314.59,10.454545454545457,4,5,4,Premium,9.252647058823529,0.0
22,16,263.57,12.733333333333333,4,4,4,Premium,16.473125,0.0
23,5,24.83,18.5,2,1,1,Lost,4.965999999999999,15.0
24,19,57.66,14.666666666666666,3,4,1,Frugal,3.034736842105263,6.4
25,4,20.84,30.0,1,1,1,Lost,5.21,15.0
26,13,86.16,12.166666666666666,4,3,2,Promising,6.627692307692308,3.6
27,82,1827.44,4.432098765432099,5,5,5,Premium,22.285853658536585,0.0
28,25,459.56,11.541666666666666,4,5,4,Premium,18.3824,0.0
29,19,30.22,11.61111111111111,4,4,1,Frugal,1.5905263157894736,6.4
30,9,19.24,21.625,2,3,1,Sleeping,2.1377777777777776,0.0
31,21,247.79,5.55,5,4,3,Loyal,11.799523809523809,1.6
32,6,435.92,22.2,1,2,4,High_Check,72.65333333333334,0.0
33,4,39.82,25.33333333333333,1,1,1,Lost,9.955,15.0
34,6,60.48,22.0,2,2,2,Lost,10.08,15.0
35,10,522.65,21.33333333333333,2,3,4,Sleeping,52.265,0.0
36,38,127.41,9.54054054054054,4,5,2,Frugal,3.352894736842105,6.4
37,24,606.05,13.521739130434783,3,4,5,Loyal,25.25208333333333,1.6
38,13,566.47,21.75,2,3,5,Sleeping,43.574615384615385,0.0
39,8,394.51,11.285714285714286,4,2,4,High_Check,49.31375,0.0
40,10,158.93,12.444444444444445,4,3,3,Loyal,15.893,0.0
41,6,188.48,26.6,1,2,3,Lost,31.41333333333333,15.0
42,17,78.00999999999999,13.875,3,4,2,Frugal,4.588823529411764,6.4
43,12,323.8,11.818181818181818,4,3,4,Loyal,26.983333333333334,0.0
44,4,37.53,30.0,1,1,1,Lost,9.3825,15.0
45,5,1.19,15.75,3,1,1,New,0.238,0.0
46,20,254.3,17.36842105263158,2,4,4,Sleeping,12.715,10.0
47,6,39.73,9.6,4,2,1,New,6.621666666666666,0.0
48,11,248.93,20.9,2,3,4,Sleeping,22.63,0.0
49,9,130.78,24.875,1,3,3,Sleeping,14.53111111111111,0.0
50,68,910.46,5.432835820895522,5,5,5,Premium,13.389117647058825,0.0
51,4,114.1,15.333333333333334,3,1,2,New,28.525,0.0
52,28,413.68,8.851851851851851,4,5,4,Premium,14.774285714285714,0.0
